@relation TravelDestinations

@attribute price numeric
@attribute temperature numeric
@attribute popularity numeric
@attribute beach {0, 1}
@attribute mountain {0, 1}
@attribute jungle {0, 1}
@attribute desert {0, 1}
@attribute historic {0, 1}
@attribute cultural {0, 1}
@attribute gastronomic {0, 1}
@attribute night_life {0, 1}
@attribute eco_turism {0, 1}
@attribute adventure {0, 1}
@attribute clase {'Bogota', 'Medellin', 'Monteria', 'Pereira', 'Cali', 'Barranquilla', 'Narino', 'Bucaramanga', 'Armenia', 'Nueva York', 'Chicago', 'Miami', 'Los Angeles', 'Londres', 'Manchester', 'Edinburgo', 'Cancun', 'Ottawa', 'Paris', 'Roma', 'Sidney'}

@data
180,21,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
200,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
210,16,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
164,18,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
180,22,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
200,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
192,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
214,16,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
170,14,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
180,18,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
200,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
210,13,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
170,18,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
180,15,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
200,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
210,16,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
162,23,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
178,18,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
208,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
210,16,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
175,17,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
180,18,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
201,18,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
212,16,5,0,1,0,0,1,1,1,1,0,1,'Bogota'
174,14,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
180,21,6,0,1,0,0,1,1,1,1,0,1,'Bogota'
200,17,8,0,1,0,0,1,1,1,1,0,1,'Bogota'
190,19,7,0,1,0,0,1,1,1,1,0,1,'Bogota'
